src,dst,port,proto
pospcicaweb2,pospcicaproc1,3389,tcp
pospcicaweb2,pospcicaproc2,3389,tcp
pospcicaweb2,pospcicaproc3,3389,tcp
pospcicaweb2,pospcifrankfurtdb1,3389,tcp
pospcicaweb2,pospcifrankfurtdb2,3389,tcp
pospcicaweb2,pospcifrankfurtproc1,3389,tcp
pospcicaweb2,pospcifrankfurtproc2,3389,tcp
pospcicaweb2,pospcifrankfurtproc3,3389,tcp
pospcicaweb2,pospcicaweb1,3389,tcp
pospcicaweb2,pospcifrankfurtweb1,3389,tcp
pospcicaweb2,pospcifrankfurtweb2,3389,tcp
pospcicaweb2,financeprodcaweb1,3389,tcp
pospcicaweb2,financeprodcaweb2,3389,tcp
pospcicaweb2,financeprodcaweb3,3389,tcp
pospcicaweb2,financeprodcaproc1,3389,tcp
pospcicaweb2,financeprodcaproc2,3389,tcp
pospcicaweb2,financeprodcaproc3,3389,tcp
pospcicaweb2,financeprodcadb1,3389,tcp
pospcicaweb2,financeprodcadb2,3389,tcp
