src,dst,port,proto
pospcicaweb2,pospcicaproc1,22,tcp
pospcicaweb2,pospcicaproc2,22,tcp
pospcicaweb2,pospcicaproc3,22,tcp
pospcicaweb2,pospcifrankfurtdb1,22,tcp
pospcicaweb2,pospcifrankfurtdb2,22,tcp
pospcicaweb2,pospcifrankfurtproc1,22,tcp
pospcicaweb2,pospcifrankfurtproc2,22,tcp
pospcicaweb2,pospcifrankfurtproc3,22,tcp
pospcicaweb2,pospcicaweb1,22,tcp
pospcicaweb2,pospcifrankfurtweb1,22,tcp
pospcicaweb2,pospcifrankfurtweb2,22,tcp
pospcicaweb2,financeprodcaweb1,22,tcp
pospcicaweb2,financeprodcaweb2,22,tcp
pospcicaweb2,financeprodcaweb3,22,tcp
pospcicaweb2,financeprodcaproc1,22,tcp
pospcicaweb2,financeprodcaproc2,22,tcp
pospcicaweb2,financeprodcaproc3,22,tcp
pospcicaweb2,financeprodcadb1,22,tcp
pospcicaweb2,financeprodcadb2,22,tcp
